,Term_NDoc_Date,Sentence
1244,18_140_2015-11-26,"Daher wird nachgesteuert werden, wenn die Bundesregierung im Februar 2016 über genauere Zahlen verfügt und über den Stand von Integration und Sprachförderung berichtet."
1245,18_140_2015-11-26,Das kann vielleicht die bisher nur berufsbezogenen Sprachkurse ablösen.
1246,18_140_2015-11-26,In meinem Bundesland Nordrhein-Westfalen wurden von der Bundesagentur für Arbeit sogenannte Integration Points  eingerichtet.
1247,18_140_2015-11-26,"Ich habe den in meinem Wahlkreis jetzt eingerichteten Integration Point besucht und mit den Mitarbeitern gesprochen, und ich muss sagen, dass ich von dem Engagement, Optimismus und, man kann manchmal sogar sagen, Pioniergeist angetan bin, den ich bei den Mitarbeitern der BA beim Aufbau dieser Stelle antreffen konnte."
1248,18_140_2015-11-26,Nachmittags lernen die Zuwanderer in einer Werkstatt oder beteiligen sich an der Instandhaltung von Radund Wanderwegen.
1249,18_140_2015-11-26,Die Migranten mit Bleibeperspektive sollen schnellstmöglich einen Platz in unserer Gesellschaft finden.
1250,18_140_2015-11-26,Wir sind im Jahrhundert der Integration.
1251,18_140_2015-11-26,"Dieses Jahrhundert der Integration hat in dem Haushalt, über den wir gerade diskutieren, nämlich dem des Bundesarbeitsministeriums von Andrea Nahles, einen großen Stellenwert bekommen."
1252,18_140_2015-11-26,"Ich finde, das ist erst einmal ein gutes Signal im Jahrhundert der Integration."
1253,18_140_2015-11-26,Allerdings ist Integration aus meiner Sicht und für die Sozialdemokratische Partei und Fraktion nicht die einzige Jahrhundertaufgabe.
1254,18_140_2015-11-26,"Nach der Aussage des Instituts für Arbeitsmarkt- und Berufsforschung sind die Flüchtlinge, die aktuell zu uns kommen, deutlich schlechter qualifiziert als andere Migrantengruppen."
1255,18_140_2015-11-26,Die Integration in Ausbildung und Arbeit ist und bleibt unser zentrales Thema.
1256,18_140_2015-11-26,"Deshalb ist es richtig, die Zuwanderung zu begrenzen."
1257,18_140_2015-11-26,"Da die Integration der Flüchtlinge auf dem Arbeitsmarkt in den Orten bewältigt werden muss, in denen sie sich tatsächlich befinden, muss das zusätzlich erforderli Deutscher Bundestag – 18."
1258,18_140_2015-11-26,"Arbeit ist eine der zentralen Voraussetzungen für ein selbstbestimmtes Leben, für Teilhabe an der Gesellschaft und eben auch für gelingende Integration."
1259,18_140_2015-11-26,Deshalb wollen wir Sprachkurse so früh wie möglich und für so viele Menschen wie möglich.
1260,18_140_2015-11-26,Wir haben im Asylverfahrensbeschleunigungsgesetz die richtigen Grundlagen gelegt.
1261,18_140_2015-11-26,Wir werden berufsbezogene Sprachförderung und Integrationskurse in einem Gesamtprogramm Sprache zusammenführen – ein richtiger Ansatz.
1262,18_140_2015-11-26,"Mit den Mitteln der BA, den Beitragsmitteln, war es möglich, dass Sprachkurse jetzt schon gestartet sind."
1263,18_140_2015-11-26,"Damit die Zuwanderung nicht dauerhaft in die Sozialsysteme erfolgt, müssen die Flüchtlinge einen Arbeitsoder Ausbildungsplatz finden."
1264,18_140_2015-11-26,Allerdings sind die sprachlichen Unwägbarkeiten nicht die einzigen Hindernisse auf dem Weg zur beruflichen Integration.
1265,18_140_2015-11-26,Deshalb haben wir die Mittel für die berufliche Integration und Beratung von Zuwanderern auf insgesamt fast 48 Millionen Euro aufgestockt.
1266,18_140_2015-11-26,"Ich bin hoffnungsvoll, dass wir damit die Herkulesaufgabe der Integration der Flüchtlinge angehen und auch bestehen können."
1267,18_140_2015-11-26,Mit dem Haushalt 2016 statten wir die Jobcenter für die wichtige Aufgabe der Integration von Flüchtlingen angemessen aus.
1268,18_140_2015-11-26,"Wir haben eine doppelte Integrationsaufgabe zu leisten: einerseits die Integration der zu uns kommenden Flüchtlinge, andererseits die Integration  derjenigen, die heute schon in unserer Gesellschaft benachteiligt sind."
1269,18_140_2015-11-26,"Aber was nützt uns das, wenn unsere Kinder, weil wir nur 50 Millionen Euro aufwenden, um gegen Rechtsextremismus vorzugehen, in einem durch Fremdenfeinde  und Rassisten vergifteten gesellschaftlichen Klima aufwachsen?"
1270,18_140_2015-11-26,"Ich bin fest davon überzeugt, dass Kinder der Schlüssel zur Integration sind, dass sich Kinder damit leichter tun."
1271,18_140_2015-11-26,"Deshalb ist es gut und richtig, dass wir das Ehrenamt zukünftig besser unterstützen, auch vor dem Hintergrund der großen Herausforderung der Integration der Flüchtlinge."
1272,18_140_2015-11-26,"Meine sehr verehrten Damen und Herren, wenn wir von Flüchtlingen sprechen, dann heißt das, sich auch Gedanken über diejenigen zu machen, die in Deutschland ein berechtigtes Aufenthaltsrecht besitzen."
1273,18_140_2015-11-26,"Wir haben die Förderung der sogenannten C1-Sprachkurse um weitere 15 Millionen Euro angehoben, um gut ausgebildeten Flüchtlingen schneller den Hochschulzugang zu ermöglichen."
1274,18_140_2015-11-26,"Die Flüchtlinge und ihre Heime, die Ehrenamtlichen sowie Politikerinnen und Politiker werden derzeit von Fremdenfeinden und Rassisten angegriffen."
1275,18_140_2015-11-26,Gerade bei den letzteren Punkten ist die Herausforderung in Zeiten starker Zuwanderung noch größer geworden.
1276,18_140_2015-11-26,"Jetzt gilt es, mit den neuen Integrationsherausforderungen die Chance für einen zusätzlichen Investitionsschub zu ergreifen."
1277,18_140_2015-11-26,"Dazu zählt auch die Kinder- und Jugendpolitik, gerade unter Berücksichtigung der gegenwärtigen Situation mit den Anforderungen an eine gelungene Integrationspolitik."
1278,18_140_2015-11-26,"Integration von Anfang an, so früh wie möglich."
1279,18_140_2015-11-26,Deshalb ist die Integration natürlich eine entscheidende Aufgabe für uns alle.
1280,18_140_2015-11-26,Insofern ist Integration immer ein Geben und Nehmen.
1281,18_140_2015-11-26,"In diesem Haushalt machen wir schon vieles, was zur Integration beitragen wird."
1282,18_140_2015-11-26,Patenschaften sind der beste Weg der Integration in unsere Gesellschaft.
1283,18_140_2015-11-26,"Darin bekennen sich die beiden CDU-Frauen ganz klar zur frühkindlichen Betreuung, weil gerade die ersten Jahre – das ist jetzt ein sinngemäßes Zitat – so besonders wichtig seien für einen erfolgreichen Bildungsweg und das besonders für Kinder mit Migrationshintergrund und für Flüchtlingskinder gelte."
1284,18_140_2015-11-26,Die große Willkommenskultur – auch das haben wir schon gehört – hat leider nicht nur Freunde.
1285,18_140_2015-11-26,"In Zeiten, in denen Flüchtlingsunterkünfte brennen, ist es wichtiger denn je, Programme gegen jede Form von Ausgrenzung und Rassismus zu unterstützen."
1286,18_140_2015-11-26,Auch das gehört zur Integration.
1287,18_140_2015-11-26,"Ich möchte, dass Menschen, die hier in Deutschland bleiben, eine Integrationsvereinbarung unterschreiben."
1288,18_140_2015-11-26,"Ich glaube, dass mehr Verbindlichkeit wichtig wäre, sowohl für diejenigen, die Integration leisten müssen, die jetzt als Flüchtlinge nach Deutschland kommen, als auch für uns als aufnehmende Gesellschaft, die diese Menschen dringend braucht."
1289,18_140_2015-11-26,Mit dem Haushalt 2016 stellen wir weitreichende Mittel für die Integration von Flüchtlingen bereit.
1290,18_140_2015-11-26,"Das hohe Gut der Religionsfreiheit darf nicht ausgenutzt werden, um Integration zu hemmen und Parallelgesellschaften zu zementieren."
1291,18_140_2015-11-26,"Denn die Überschüsse werden weltweit entsorgt, was regionalen Märkten schadet und Fluchtursachen verschärft."
1292,18_141_2015-11-27,Mit dem Afghanistan-Krieg sollte der weltweite Terrorismus wirksam bekämpft werden.
1293,18_141_2015-11-27,"Nach 14 Jahren Krieg, mit vielen Toten in Afghanistan, aber auch mit toten deutschen Soldaten und vielen, die traumatisiert zurückgekehrt sind, ist der Terrorismus nicht besiegt – im Gegenteil."
1294,18_141_2015-11-27,"Das BAMF erhält 4 000 neue Stellen, und die Mittel für Integrationsmaßnahmen werden deutlich, auf über 320 Millionen Euro pro Jahr, erhöht: für die Integration der Flüchtlinge mit Bleibeperspektive bei uns."
1295,18_141_2015-11-27,"Von der Teilnahme an Integrationskursen schließen Sie alle Asylbewerber aus Ländern mit immerhin noch nennenswerten Schutzquoten aus, also bei einer erwarteten Quote von 25 bis 46 Prozent."
1296,18_141_2015-11-27,Für sie werden Integrationskurse und Sprachkurse finanziert.
1297,18_141_2015-11-27,"Bei den C1-Sprachkursen für diejenigen, die akademisch gebildet sind, die studieren wollen oder über eine entsprechende Vorbildung verfügen, haben wir zusätzlich 15 Millionen Euro bereitgestellt."
1298,18_141_2015-11-27,"Es ist ein gutes Signal, dass wir uns um Integrationskurse kümmern."
1299,18_141_2015-11-27,"Man darf bei der ganzen Asylfrage auch nicht vergessen, dass man sich auch um die Kranken, die Behinderten, die Schwangeren kümmern muss."
1300,18_141_2015-11-27,"Das können viele gar nicht richtig würdigen, weil ihnen nicht bewusst ist, dass noch vor zwei Jahren im Bundesamt für Migration und Flüchtlinge ungefähr 1 800 Menschen gearbeitet haben, darunter 280 Asylentscheider."
1301,18_141_2015-11-27,"Und jetzt kommen noch einmal 250 Millionen Euro hinzu, sodass insgesamt 559 Millionen Euro für Integrationskurse im Jahr 2016 zur Verfügung stehen."
1302,18_141_2015-11-27,"Wir wollen, dass Integration in Deutschland gelingt."
1303,18_141_2015-11-27,Abgesehen von der Integrationsleistung machen wir sehr viel für das Gelingen der Organisation.
1304,18_141_2015-11-27,"Wir debattieren diesen Bundeshaushalt angesichts drei großer Herausforderungen, vor denen unser Land in diesen Tagen steht: Wir müssen mutig sein, damit die Integration  der  Menschen,  die  zu  uns  geflüchtet  sind,  nicht nur schnell, sondern vor allem gut und erfolgreich gelingt."
1305,18_141_2015-11-27,"Meine Damen und Herren von der Großen Koalition, lieber Johannes Kahrs, wir erkennen durchaus an, dass ihr in der Integrationspolitik nicht nichts tut."
1306,18_141_2015-11-27,"Sie offenbaren viele Leerstellen, wenn es darum geht, dass Integration auch im zweiten und dritten Schritt gelingt."
1307,18_141_2015-11-27,"Sie stellen nicht genug Mittel für Integrationskurse bereit, und Sie haben beim sozialen Wohnungsbau nicht  den Weitblick, den es brauchte."
1308,18_141_2015-11-27,"Vor allem werden wir den drei Herausforderungen unserer Tage, nämlich Integration, Klimaschutz und Zukunftsinvestitionen, gerecht."
1309,18_141_2015-11-27,"Ihnen fehlt der Mut, bei der Integration in Deutschland entschlossen voranzugehen."
1310,18_141_2015-11-27,Allein im Rahmen des Asylpakets werden im Geschäftsbereich des BMI zusätzlich  Dr. Tobias Lindner  Deutscher Bundestag – 18. Wahlperiode – 141.
1311,18_141_2015-11-27,Das Bundesamt – auch BAMF genannt – bekommt außerdem 101 Millionen Euro zur Optimierung der Asylverfahren und zur Stärkung der IT.
1312,18_141_2015-11-27,"Die Integration derjenigen, die vorerst hierbleiben müssen, muss uns auch gelingen."
1313,18_141_2015-11-27,Deshalb haben wir die Integrationsausgaben des BAMF im Vergleich zum Jahr 2015 um 293 Millionen Euro erhöht.
1314,18_141_2015-11-27,Damit leistet Deutschland einen wichtigen Beitrag zur Bekämpfung der Fluchtursachen.
1315,18_141_2015-11-27,"Ja, die Fluchtursachen und die Flüchtlingsströme spielten in den Beratungen zum Bundeshaushalt 2016 eine große Rolle."
1316,18_141_2015-11-27,"Wir alle wissen, dass wir mit einer gelungenen Integration heute den Grundstein dafür legen, die Probleme von morgen gar nicht erst aufkommen zu lassen."
1317,18_141_2015-11-27,Aber auch die Mittel für Integrationsmaßnahmen wurden gegenüber 2015 um 326 Millionen Euro erhöht.
1318,18_141_2015-11-27,"Ein Muss, wenn man sich die gewaltigen Fehler bei der Integration der Arbeitsmigration nach 1960 im Westen der Bundesrepublik vor Augen führt."
1319,18_141_2015-11-27,"Das Haushaltsgesetz 2016 bewilligt aber auch Geld, um die Fluchtursachen vor Ort zu bekämpfen."
1320,18_141_2015-11-27,Angesichts der aktuellen Krisen schichtet das Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ) im Etat 370 Millionen Euro zugunsten der Krisenbewältigung und des Wiederaufbaus sowie für die Bekämpfung von Fluchtursachen in den Entwicklungsländern haushaltsneutral um.
1321,18_141_2015-11-27,Auch die Sonderinitiative „Fluchtursachen bekämpfen“ erhält einen Ausgabenzuwachs um 190 Millionen Euro auf 300 Millionen Euro.
1322,18_141_2015-11-27,"Mit der Verdopplung der Mittel für den sozialen Wohnungsbau um 500 Millionen Euro auf 1,018 Milliarden Euro unterstützt der Bund im nächsten Jahr mittelbar die Länder und Kommunen im Bereich der Asylpolitik."
1323,18_141_2015-11-27,"Trotz dieser positiven Entwicklung sehe ich angesichts der ungesteuerten und unbegrenzten Zuwanderung große Risiken für die Einhaltung des angestrebten Haushaltsziels, die schwarze Null – ohne Steuererhöhung – zu halten."
1324,18_143_2015-12-03,"Wenn wir uns anschauen, dass im selben Bericht für das Jahr 2014 eine Senkung um 27 Prozent gegenüber 1990 ausgewiesen ist, dann wird klar, dass diese 110 Millionen Tonnen ein Drittel dieser Senkung gegenüber dem Jahr 1990 ausmachen."
1325,18_143_2015-12-03,Manchmal werfen sie gar Kolonialismus vor.
1326,18_143_2015-12-03,In einem Fall wurde auch um humanitäres Asyl in einer westlichen Botschaft ersucht.
1327,18_143_2015-12-03,Gerade angesichts der Flüchtlingskrise und der Debatte um bestmögliche Integration von Zuwanderern geht es bei Diversität aber auch um den gemeinsamen Dienst von deutschen Staatsbürgern unterschiedlicher Herkunft.
1328,18_143_2015-12-03,"Deshalb sollten wir nicht nur darauf hinweisen, dass die Bundeswehr Seite an Seite mit vielen anderen Institutionen und Freiwilligen Großartiges in der Flüchtlingshilfe leistet –  (Beifall bei der CDU/CSU und der SPD sowie bei Abgeordneten des BÜNDNISSES 90/DIE GRÜNEN)  was auch von den anderen Helfern anerkannt wird, die teilweise sogar wie hier in Berlin um den Einsatz der Bundeswehr bitten, selbst wenn sie politisch eigentlich eher, ich sage mal, bundeswehrfern sind –, sondern auch darauf, dass die Bundeswehr selbst ein gelungenes Beispiel von Integration ist."
1329,18_143_2015-12-03,"Der Verein hat sich gerade deshalb gegründet, um gesellschaftlichen Vorurteilen sowohl von links, von rechts als auch unter Immigranten selbst entgegenzuwirken, dass man als – in Anführungszeichen – „Ausländer“ doch nicht bei der Bundeswehr sein könne."
1330,18_143_2015-12-03,"Meine sehr verehrten Damen und Herren, der internationale Terrorismus ist die größte Bedrohung für den Weltfrieden und auch für unsere Gesellschaftsordnung."
1331,18_143_2015-12-03,Kobane wäre ohne die Luftschläge der USA und ohne die militärische Unterstützung der Peschmerga heute noch in den Händen der Dschihadisten.
1332,18_143_2015-12-03,"Die Dschihadisten werden uns nicht verschonen, nur weil wir sie in Ruhe lassen."
1333,18_143_2015-12-03,Aber bei Dschihadisten mit dem Ziel eines Weltkalifats kann ich keinerlei Verhandlungsmasse ausmachen.
1334,18_143_2015-12-03,"Wir wünschen den Soldatinnen und Soldaten viel Glück im Einsatz gegen den internationalen Terrorismus, den der Deutsche Bundestag in dieser Woche beschließen wird."
1335,18_143_2015-12-03,"Kolleginnen und Kollegen, als Integrationsbeauftragter meiner Fraktion sage ich: Natürlich werden wir Terrorismus nicht allein mit militärischen Mitteln besiegen können."
1336,18_143_2015-12-03,Terrorismus ist Folge der geistigen Brandstiftung auch in unseren Gesellschaften.
1337,18_143_2015-12-03,Der internationale Terrorismus darf in Afghanistan keine Zukunft haben.
1338,18_143_2015-12-03,"Kolleginnen und Kollegen, unser Antrag zum Schutz afghanischer Flüchtlinge ist eine Reaktion auf den Plan des Innenministers, Afghanen wieder verstärkt abzuschieben und die Entscheidungspraxis des Bundesamtes für Migration und Flüchtlinge für afghanische Asylsuchende entsprechend anzupassen."
1339,18_143_2015-12-03,Sicherheitslage – für ein maßvolles und umsichtiges Vorgehen bei der Bearbeitung von Asylanträgen afghanischer Schutzsuchender.
1340,18_143_2015-12-03,Es kann also wirklich nicht die Rede von unberechtigten Asylanträgen sein.
1341,18_143_2015-12-03,"Die Rechtsprechungspraxis hält insbesondere Abschiebungen von alleinstehenden jungen Männern für möglich, mit dem Tenor, diese hätten in Kabul die Möglichkeit, wieder Fuß zu fassen."
1342,18_143_2015-12-03,"Außerdem fordern wir, dass das Bundesamt keine Asyl- und Flüchtlingsanerkennungen und keinen subsidiären Schutz mit dem Hinweis auf eine angeblich positiv veränderte Lage oder irgendwelche sicheren Fluchtalternativen widerruft."
1343,18_143_2015-12-03,Laut der EASY-Statistik sind in diesem Jahr schon über 129 000 Asylsuchende aus Afghanistan zu uns eingereist.
1344,18_143_2015-12-03,Von pauschalen Abschiebungen spricht niemand.
1345,18_143_2015-12-03,Weite Teile Ihrer Fraktionen lehnen Abschiebungen generell  Luise Amtsberg  Deutscher Bundestag – 18.
1346,18_143_2015-12-03,"Es fehlt Ihnen die Einsicht, dass Abschiebungen notwendig sind, um Entscheidungen im Asylverfahren auch durchzusetzen und ein faires und vermittelbares Asylsystem zu erhalten."
1347,18_143_2015-12-03,Das und nichts anderes soll angesichts der steigenden Zahlen von Asylbewerbern aus Afghanistan künftig genauer geprüft werden.
1348,18_143_2015-12-03,"Es ist nicht von der Hand zu weisen, dass ein Grund für die gestiegenen Zahlen von Asylbewerbern aus Afghanistan falsche Gerüchte und Lügen über die Flucht nach Deutschland sind."
1349,18_143_2015-12-03,Ein Abschiebestopp und eine pauschale Anerkennung für Asylbewerber aus Afghanistan mit mindestens subsidiärem Schutz wären ein völlig falsches Signal.
1350,18_143_2015-12-03,"Zu einem gerechten Asylsystem gehört, dass in regelmäßigen Abständen überprüft wird, ob die Schutzgründe im Einzelfall weiterhin vorliegen oder ob eine Rückkehr unter Würdigung aller Umstände möglich ist."
1351,18_143_2015-12-03,"Es ist ein Kurs, der stets die humanitäre Verantwortung Deutschlands, aber genauso auch die Akzeptanz unseres Asylsystems durch unsere Bürgerinnen und Bürger im Blick hat."
1352,18_143_2015-12-03,"Wir sagen ganz klar: Nein, es darf keine Abschiebungen geben, weil Afghanistan nicht sicher ist."
1353,18_143_2015-12-03,Deswegen liegt die Anerkennungsquote bei Asylanträgen von Afghanen derzeit auch bei 86 Prozent.
1354,18_143_2015-12-03,Es darf keine Abschiebung nach Afghanistan geben.
1355,18_143_2015-12-03,"Sie müssen zumindest von Anfang an das Recht haben, Integrationskurse zu besuchen und unsere Sprache zu lernen."
1356,18_143_2015-12-03,"Wenn Sie sich generell für einen Abschiebestopp aussprechen, dann bedeutet das, dass das Asylverfahren gar nicht mehr durchgeführt werden muss."
1357,18_143_2015-12-03,"Selbst wenn es zu einer Einigung zwischen der deutschen Regierung und Afghanistan kommen sollte und entsprechende Rückführungsabkommen geschlossen würden, wie sie übrigens andere europäische Staaten haben, die weiterhin Asylund Bleibegründe im jeweiligen nationalen oder europäischen Rechtsrahmen kennen, bleibt es uns Parlamentarierinnen und Parlamentariern überlassen, darüber noch einmal gesondert zu befinden."
1358,18_143_2015-12-03,"Beide Anträge der Opposition zielen im Kern darauf ab, jedem afghanischen Asylbewerber pauschal ein Bleiberecht einzuräumen."
1359,18_143_2015-12-03,Genauso gut könnten Sie auch ein pauschales Bleiberecht für alle Asylbewerber aus Nigeria oder Mali fordern.
1360,18_143_2015-12-03,Stockholm hat die Asylrechtsverfahren extrem verschärft und strikte Grenzkontrollen eingeführt.
1361,18_143_2015-12-03,Der schwedische Botschafter hat in dieser Woche hier vor den Europapolitikern der Union ausdrücklich für ein Umdenken in der Asylpolitik plädiert.
1362,18_143_2015-12-03,"Wir müssen angesichts dieser Dimension ganz eindeutig klarstellen, dass unser Asylrecht – hierum geht es – nur im begründeten Einzelfall helfen kann."
1363,18_143_2015-12-03,"Deswegen fordert weder der Bundesinnenminister noch die Unionsfraktion, das Asylrecht oder gar die Einzelfallprüfung für bestimmte Gruppen aufzuheben."
1364,18_143_2015-12-03,"Wir fordern eine Einzelfallprüfung für alle Asylbewerber, egal ob Afghanen oder Syrer."
1365,18_143_2015-12-03,"Wir wollen, dass endlich wieder europäisches und nationales Asylrecht konsequent angewendet wird."
1366,18_143_2015-12-03,"Die Bewertung, ob eine Abschiebung zulässig ist oder nicht, obliegt aus gutem Grund nicht uns, sondern in jedem Einzelfall der Entscheidung des Bundesamtes für Migration und Flüchtlinge."
1367,18_143_2015-12-03,Der Kollege von der SPD hat gerade die Zahlen zur tatsächlichen Abschiebung in diesem Jahr und in den vergangenen Jahren ausgeführt.
1368,18_143_2015-12-03,"Die mangelhafte Durchsetzung der Ausreisepflicht ist ein strukturelles Problem, das wir aktuell im deutschen Asylsystem haben."
1369,18_143_2015-12-03,"Das Rückübernahmeabkommen der EU mit Afghanistan, das im Übrigen auch andere Länder  schon abgeschlossen haben, wäre ein weiterer sinnvoller Schritt, der in erster Linie der Durchsetzung unseres Asylrechts dienen würde."
1370,18_143_2015-12-03,"Die Wirtschaftsweisen prognostizieren uns, dass die Versorgung der Asylbewerber im nächsten Jahr bis zu 14,3 Milliarden Euro kosten könnte."
1371,18_143_2015-12-03,Die Gefahren des internationalen Terrorismus für unsere europäischen Gesellschaften sind heute so präsent wie vermutlich selten seit 2001.
1372,18_143_2015-12-03,"Der internationale Terrorismus bedroht – auch das dürfen wir nicht aus dem Blick verlieren – nicht nur unsere Sicherheit, sondern auch eine der wichtigsten Lebensadern unseres wirtschaftlichen Wohlstands."
1373,18_143_2015-12-03,"Die möglichen Bedrohungen im Mittelmeer sind vielfältig angesichts der Schmuggler- und Fluchtrouten, der Instabilität in Syrien und in weiten Teilen Nordafrikas sowie der erhöhten Präsenz Russlands."
1374,18_143_2015-12-03,Ursprünglich sollte die Mission einen aktiven Beitrag zur maritimen Terrorismusabwehr leisten.
1375,18_143_2015-12-03,"Das eine war die Entwaffnung der Milizen und deren Integration in die nationale Armee, das andere waren eine neue Verfassung und ein neues Wahlgesetz."
1376,18_143_2015-12-03,"Deshalb fordern wir in unserem Antrag, dass die Präsenz der Vereinten Nationen, der Afrikanischen Union und der Peacebuildung Commission gestärkt wird, dass die juristische Aufarbeitung der Menschenrechtsverletzungen eingeleitet wird, dass Hilfe für die in Nachbarländer geflohenen Flüchtlinge angeboten wird und dass auch Deutschland Asyl anbietet."
1377,18_143_2015-12-03,Wir reden in der letzten Zeit immer wieder – es ist schon fast ein geflügeltes Wort geworden – über Fluchtursachen.
1378,18_143_2015-12-03,"Auch das, was wir als Parlament und als Bundesregierung in solchen Fällen tun und tun können, um Fluchtursachen zu bekämpfen, ob sie uns betreffen oder nicht, noch bevor es zu Chaos und Vertreibung kommt, steht nicht immer im Mittelpunkt."
1379,18_143_2015-12-03,Es gibt derzeit 850 Integrationsfirmen.
1380,18_143_2015-12-03,"Wir haben mit den vorhandenen Integrationsfirmen ein Instrument, mit dem wir sehr konkret für Tausende von behinderten Menschen Perspektiven auf dem ersten Arbeitsmarkt schaffen werden."
1381,18_143_2015-12-03,"Wir spielen nicht Werkstätten gegen Integrationsfirmen, „Budget für Arbeit“ oder „ausgelagerte Arbeitsplätze“ aus."
1382,18_143_2015-12-03,"Wir wollen optional Werkstätten, Integrationsfirmen und „Budget für Arbeit“, damit wir möglichst Durchlässigkeit und auch Wahlfreiheit erreichen."
1383,18_143_2015-12-03,Die Umstellung unseres Energiesystems und die Integration der volatilen erneuerbaren Energien wird uns noch lange Zeit vor große Herausforderungen stellen.
1384,18_144_2015-12-04,Aber ich will deutlich sagen: Deutschland ist längst im Fokus des internationalen Terrorismus.
1385,18_144_2015-12-04,"Vielleicht konnte man vor 14 Jahren noch glauben, dass sich das Problem des Terrorismus durch Bombenkriege lösen lässt, aber heute doch nicht mehr, nach all den Erfahrungen, die gemacht wurden."
1386,18_144_2015-12-04,"Es ist doch ungeheuerlich, dass der Ölschmuggel über die türkische Grenze bis heute nicht unterbunden ist und jede Nacht 100 neue Dschihadisten – zurzeit sind es noch mehr – diese Grenze überqueren, die den Nachschub des IS bilden."
1387,18_144_2015-12-04,"Wir können nicht von Entgrenzung reden, Herr Kollege Hofreiter, schon gar nicht sollten wir von einer Unterstützung des Terrorismus durch Enthaltung, so wie Sie es machen, oder durch Ablehnung reden, sondern wir müssen uns stärker in der Region engagieren und uns darüber in diesem Hause unterhalten."
1388,18_144_2015-12-04,Ebenso müssen die in der Resolution aufgeführten Maßnahmen zur Unterbindung der Finanzierung des Terrorismus konsequent und von allen Staaten angewendet werden.
1389,18_144_2015-12-04,Die deutschen Behörden arbeiten in der Terrorismusbekämpfung bereits sehr eng und in einem breiten Spektrum von Maßnahmen mit Frankreich zusammen.
1390,18_144_2015-12-04,"Im Gegenteil: Unsere Anstrengungen zur Integration insbesondere junger Muslime müssen gesteigert werden, um Parallelgesellschaften und Ghettobildungen zu verhindern."
1391,18_144_2015-12-04,"Nur so kann durch Integration verhindert werden, dass sich Menschen Terrororganisationen zuwenden."
1392,18_144_2015-12-04,"Die wichtigste (Finanz-)Ressource des IS ist die unter seiner Kontrolle stehende Bevölkerung und seine Fähigkeit, Tausende Dschihadisten aus aller Welt anzuziehen, zu trainieren und in den Kampf zu schicken."
1393,18_144_2015-12-04,"Wer auf immer mehr Bomben gegen ISIS setzt, aber die brutale Gewalt des Assad-Regimes gegen die Zivilbevölkerung nicht unterbindet, treibt dem ISIS immer neue Dschihadisten in die Arme."
1394,18_144_2015-12-04,Ebenso müssen die in der Resolution aufgeführten Maßnahmen zur Unterbindung der Finanzierung des Terrorismus konsequent und von allen Staaten angewendet werden.
1395,18_144_2015-12-04,Die deutschen Behörden arbeiten in der Terrorismusbekämpfung bereits sehr eng und in einem breiten Spektrum von Maßnahmen mit Frankreich zusammen.
1396,18_144_2015-12-04,"Die bedeutendste Ressource des Da'isch ist die unter seiner Kontrolle stehende Bevölkerung und seine Fähigkeit, tausende Dschihadisten aus aller Welt anzuziehen, zu trainieren und in den Kampf zu schicken."
1397,18_144_2015-12-04,Ebenso müssen die in der Resolution aufgeführten Maßnahmen zur Unterbindung der Finanzierung des Terrorismus konsequent und von allen Staaten angewendet werden.
1398,18_144_2015-12-04,Die deutschen Behörden arbeiten in der Terrorismusbekämpfung bereits sehr eng und in einem breiten Spektrum von Maßnahmen mit Frankreich zusammen.
1399,18_144_2015-12-04,"Wir müssen unsere Anstrengungen zur Integration insbesondere junger Muslime steigern, um Parallelgesellschaften und Ghettobildungen zu verhindern."
1400,18_144_2015-12-04,Ebenso müssen die in der Resolution aufgeführten Maßnahmen zur Unterbindung der Finanzierung des Terrorismus konsequent und von allen Staaten angewendet werden.
1401,18_144_2015-12-04,Die deutschen Behörden arbeiten in der Terrorismusbekämpfung bereits sehr eng und in einem breiten Spektrum von Maßnahmen mit Frankreich zusammen.
1402,18_144_2015-12-04,"Im Gegenteil: Unsere Anstrengungen zur Integration insbesondere junger Muslime müssen gesteigert werden, um Parallelgesellschaften und Ghettobildungen zu verhindern."
1403,18_144_2015-12-04,"Als Indikator möge der langjährige Streit über ein Einwanderungsgesetz dienen – eine frühe Forderung der SPD, leider ohne Mehrheit."
1404,18_144_2015-12-04,Unsere Anstrengung zur Integration von Muslimen muss gesteigert werden.
1405,18_144_2015-12-04,Ebenso müssen die in der Resolution aufgeführten Maßnahmen zur Unterbindung der Finanzierung des Terrorismus konsequent und von allen Staaten angewendet werden.
1406,18_144_2015-12-04,Die deutschen Behörden arbeiten in der Terrorismusbekämpfung bereits sehr eng und in einem breiten Spektrum von Maßnahmen mit Frankreich zusammen.
1407,18_144_2015-12-04,"Im Gegenteil: Unsere Anstrengungen zur Integration insbesondere junger Muslime müssen gesteigert werden, um Parallelgesellschaften und Ghettobildungen zu verhindern."
1408,18_144_2015-12-04,Ebenso müssen die in der Resolution aufgeführten Maßnahmen zur Unterbindung der Finanzierung des Terrorismus konsequent und von allen Staaten angewendet werden.
1409,18_144_2015-12-04,Die deutschen Behörden arbeiten in der Terrorismusbekämpfung bereits sehr eng und in einem breiten Spektrum von Maßnahmen mit Frankreich zusammen.
