,Unnamed: 0,Term_NDoc_Date,Sentence,polarity
400,400,18_120_2015-09-09,"Wir müssen aber, um dies sinnvoll und effizient zu gestalten, auch dafür sorgen, dass wir schnellere Asylverfahren bekommen.",0.9
1939,1939,18_152_2016-01-28,"Auch noch einmal von dieser Stelle aus einen herzlichen Glückwunsch an alle Preisträger, insbesondere natürlich an den VfL Bad Wildungen, der den ersten Preis geholt hat und beispielsweise ein tolles Projekt im Bereich der Integration von Flüchtlingen initiiert hat.",0.9
3647,3647,18_218_2017-02-16,"Wir können doch nicht sagen, dass wir eine gute Integrationspolitik machen, wenn wir sehen, dass wir offensichtlich bei Menschen innerhalb von acht Jahren keine aufenthaltsbeendigenden Maßnahmen durchführen können, aus praktischen oder menschenrechtlichen guten Gründen.",0.9
1972,1972,18_153_2016-01-29,"Es ist richtig, dass der Spracherwerb ein wichtiger Schlüssel für eine erfolgreiche Integration ist.",0.9
675,675,18_127_2015-10-01,"Ich möchte ausdrücklich auch Ihnen, Herr Minister, dan­ ken, dass Sie am Montag all jenen THW­Helferinnen und ­Helfern gedankt haben, die ehrenamtlich zum Bei­ spiel dafür sorgen, dass vor Ort, wo es darauf ankommt, Unterkünfte entsprechend ausgestattet und Sprachkurse angeboten werden.",0.9
1965,1965,18_153_2016-01-29,"Denn nur ein gutes und gut ausgestattetes Bildungssystem wird für alle Kinder und Jugendlichen gleiche Bildungschancen ermöglichen, und nur ein gut ausgestattetes Bildungssystem wird die große Integrationsaufgabe leisten können.",0.9
3711,3711,18_218_2017-02-16,"Erst heute Mittag sprachen wir im Bundestag im Zusammenhang mit dem Antrag der Linksfraktion „Eine erfolgreiche Integrationspolitik erfordert eine soziale Offensive für alle“, Drucksache 18/9190, dass statt sicherer Arbeitsplätze, guter Löhne und damit natürlich auch guter Renten, 1-Euro-Jobs, Leiharbeit, Dauerbefristungen und auch Werkverträge zunehmen.",0.8800000000000001
1304,1304,18_141_2015-11-27,"Wir debattieren diesen Bundeshaushalt angesichts drei großer Herausforderungen, vor denen unser Land in diesen Tagen steht: Wir müssen mutig sein, damit die Integration  der  Menschen,  die  zu  uns  geflüchtet  sind,  nicht nur schnell, sondern vor allem gut und erfolgreich gelingt.",0.8800000000000001
1043,1043,18_138_2015-11-24,"Denn dabei müssen Sie, Herr Minister, zwischen Terrorismusbekämpfung, also dem Schutz von Bürgerinnen und Bürgern, auf der einen Seite und den Freiheitsrechten, wie dem Recht auf freie Entfaltung der Persönlichkeit und dem Recht auf informationelle Selbstbestimmung, die nicht minder wichtig sind, auf der anderen Seite abwägen.",0.8500000000000001
186,186,18_110_2015-06-12,"Das heißt, wir müssen den Asylmissbrauch in Bezug auf die Westbalkanstaaten effektiv bekämpfen, um genügend Kapazitäten zu haben, um uns um die wirklich Schutzbedürftigen zu kümmern.",0.8500000000000001
3022,3022,18_187_2016-09-08,"Das kann sicher keine Dauerlösung sein, sondern es muss erst recht Ansporn sein, um bestmögliche Integration in den Arbeitsmarkt zu gewährleisten.",0.8500000000000001
1271,1271,18_140_2015-11-26,"Deshalb ist es gut und richtig, dass wir das Ehrenamt zukünftig besser unterstützen, auch vor dem Hintergrund der großen Herausforderung der Integration der Flüchtlinge.",0.8500000000000001
1539,1539,18_145_2015-12-16,"Der Gipfel in Valletta auf Malta ist ein besonders ärgerliches und peinliches Beispiel dafür, wie man Politik nicht macht, wie man vielleicht Flüchtlinge von uns fernhalten kann, aber Fluchtursachen verschärft.",0.8500000000000001
3562,3562,18_211_2017-01-18,"Ja, wir müssen überlegen – Herr de Maizière hat das zu Recht angesprochen –, wie wir mit den Herkunftsstaaten, aus denen Gefährder kommen, die bei uns kein Aufenthaltsrecht haben, umgehen.",0.85
3412,3412,18_208_2016-12-14,"Ist es nicht Zeit, diese Regime-Change-Politik zu beenden, die wirklich ein so fruchtbarer Nährboden für den Terrorismus vor Ort ist?",0.85
211,211,18_119_2015-09-08,"Das Asylrecht ist und bleibt die unantastbare Selbstverpflichtung unserer Verfassung und unserer Geschichte, und die Menschenwürde gilt ausnahmslos für alle, die hier leben, unabhängig davon, wie lange sie hier sind und wie lange sie bleiben können.",0.85
206,206,18_110_2015-06-12,"Auch wenn wir bei der Beseitigung der Fluchtursachen einen langen Atem brauchen werden, bin ich mir sicher, dass wir diese Aufgabe gemeinsam mit unseren europäischen Partnern erfolgreich bewältigen werden.",0.85
4194,4194,18_94_2015-03-19,"Egal ob Dschihadisten, Salafisten, linke oder rechte Extremisten – wir wehren uns entschieden gegen alle Feinde unseres Rechtsstaats.",0.85
886,886,18_135_2015-11-11,"Als vor gut einem Jahr die Asylbewerberzahlen deutlichen anstiegen, war uns natürlich wichtig, die Asylverfahren zu beschleunigen.",0.85
2629,2629,18_172_2016-06-01,"Ist es richtig, benachbarte Wohnungsmärkte – wobei der eine als angespannt ausgewiesen wurde, der andere nicht – miteinander zu vergleichen?",0.85
530,530,18_121_2015-09-10,"Sie hat – erstens – gesagt: Wir müssen alles tun, um die Menschen, die nach Abschluss des Asylverfahrens bei uns bleiben können, mit aktiver Arbeitsmarktpolitik in unsere Gesellschaft zu integrieren.",0.85
3619,3619,18_218_2017-02-16,Eine erfolgreiche Integrationspolitik erfordert eine soziale Offensive für alle Drucksache 18/9190 .,0.85
1193,1193,18_139_2015-11-25,"Jeder Mensch hat ein Recht auf ein menschenwürdiges Leben, unabhängig von der Frage der Fluchtursachenbekämpfung.",0.85
2507,2507,18_170_2016-05-12,"Oder haben Sie mit der türkischen Regierung darüber gesprochen, dass Erdogan Flüchtlinge nach Syrien und in den Irak abschieben lässt, dass er auf syrische Flüchtlinge, auch auf Kinder, schießen lässt?",0.85
3414,3414,18_208_2016-12-14,"Immer dann, wenn Terrorismus sich ausbreiten kann, gibt es irgendeinen Resonanzboden dafür, eine Zivilbevölkerung, die sich benachteiligt fühlt, die sich zurückgesetzt fühlt, die sich gedemütigt fühlt, die vielleicht nicht terroristisch wird, aber den Terroristen Rückzugsorte und Rückzugsgelegenheiten bietet.",0.85
2750,2750,18_175_2016-06-08,"Wenn ein Mitgliedstaat, dem wir in der Vergangenheit  vorgeworfen haben, dass er das Asylrecht zu lasch im Sinne des Rechtsschutzes anwendet, nämlich Griechenland, zu dem Ergebnis kommt, dass die Türkei nicht als sicherer Drittstaat behandelt werden kann, sollten wir das meines Erachtens sehr ernst nehmen.",0.85
553,553,18_121_2015-09-10,"Das ist auch wichtig, weil Deutschland auf gezielte und qualifizierte Einwanderer angewiesen ist.",0.85
3699,3699,18_218_2017-02-16,"Negative Nebeneffekte der Freizügigkeit, wie grenzüberschreitende Kriminalität, Armutsmigration oder unkontrollierte Asylmigration, müssen wirksam unterbunden werden.",0.85
614,614,18_126_2015-09-30,"Jetzt muss dann quasi im Vorverfahren des Asylverfahrens geprüft werden, ob das Asylverfahren gute Aussichten auf Erfolg hat, oder wie muss ich mir das praktisch vorstellen?",0.85
3356,3356,18_203_2016-11-24,"Meine Damen und Herren, liebe Kolleginnen und Kollegen, Bildungschancen für alle zu erschließen, und zwar auch Integration durch Bildung zu ermöglichen – und zwar heute –, ist sehr wichtig.",0.85
249,249,18_119_2015-09-08,"Deshalb ist es richtig, dass das Bundeskabinett unter Leitung von Angela Merkel vor kurzem beschlossen hat, dass die Bundesagentur für Arbeit nicht länger zustimmen muss, wenn es um Praktika zur Berufsorientierung für Geduldete und Asylbewerber geht.",0.85
330,330,18_119_2015-09-08,"Das macht keinen Sinn,  (Beifall beim BÜNDNIS 90/DIE GRÜNEN und bei der LINKEN)  zumal es um die Abschiebung in ein Land geht, das Flüchtlinge interniert, kriminalisiert und demnächst mit Notstandsgesetzen und drakonischen Strafen bei illegaler Einreise reagiert.",0.85
3824,3824,18_233_2017-05-17,"Die Beauftragte der Bundesregierung für Migration, Flüchtlinge und Integration fördert ein Projekt des Bildungsträgers Akademie Waldschlösschen zur Fortbildung von haupt‐ und ehrenamtlichen Mitarbeiterinnen und Mitarbeitern in der Arbeit mit LSBTI‐Schutzsuchenden sowie zur Vernetzung und Selbsthilfe von schutzsuchenden LSBTI.",0.85
2025,2025,18_154_2016-02-17,"Ich gehe fest davon aus, dass die Zahl der Rückkehrer aus Deutschland – sowohl freiwillige Rückkehrer als auch Rückkehrer durch Abschiebungen, wenn sie denn nötig sind – in der nächsten Zeit nicht in einer Größenordnung sein wird, die die Stabilität des Landes in irgendeiner Weise gefährden kann.",0.85
3951,3951,18_79_2015-01-15,"Dazu gehört, dass wir diejenigen, die Asylrecht genießen, bei uns willkommen heißen und uns angemessen und vernünftig um sie kümmern.",0.85
814,814,18_128_2015-10-02,"August 2015 eine Änderung beschlossen, mit der jungen Asylsuchenden und Geduldeten, die gute Bleibeperspektiven haben, der Zugang unter anderem zu berufsorientierenden und studienbegleitenden Praktika erleichtert wird.",0.85
2362,2362,18_161_2016-03-17,"Die Integrationskurse wurden für Geduldete mit Bleibeperspektive geöffnet, die Gelder für Sprachkurse wurden erhöht, das Leiharbeitsverbot wurde gelockert, und im Sozialgesetzbuch wurden Sonderregelungen geschaffen, die eine bessere Eingliederung mit Leistungen für eine aktive Arbeitsmarktförderung für Personen mit einer Aufenthaltsgestattung ermöglichen.",0.85
3816,3816,18_233_2017-05-17,Die Linke mit dem Titel „Eine erfolgreiche Integrationspolitik erfordert eine soziale Offensive für alle“.,0.85
820,820,18_129_2015-10-14,"Zu Recht haben kritische Stimmen angemerkt, dass der Einsatz gegen Schlepper auf dem Mittelmeer nicht weit genug geht.",0.85
3373,3373,18_203_2016-11-24,"Wir haben ganz klar darauf gesetzt, dass wir den Spracherwerb verbessern und dass die Angebote, die Kapazitäten für die Sprachkurse nach oben gefahren werden.",0.85
575,575,18_121_2015-09-10,"In meinem Wahlkreis habe ich erlebt, dass Menschen schon seit Monaten aktiv bei der Integration der Flüchtlinge in ein für sie komplett fremdes Land und in einen neuen Alltag helfen.",0.85
3970,3970,18_85_2015-02-05,"Es bedeutet nämlich, sich um Migration und Integration bzw. um das echte Zusammenleben zu kümmern.",0.85
3387,3387,18_203_2016-11-24,"Es freut mich, zu hören, dass für die Arbeit vor Ort, sowohl für die Ausstattung der Arbeitsagenturen als auch für die Integration  in den Arbeitsmarkt, zurzeit genügend Mittel vorhanden sind, um Menschen in Arbeit zu bringen.",0.85
2255,2255,18_157_2016-02-24,"Es gibt Menschen, die sich ehrenamtlich engagieren, Asylbewerber begrüßen und sich für sie einsetzen.",0.85
3159,3159,18_197_2016-10-21,Mit den Änderungen fördern wir auch die ehrenamtliche Tätigkeit von Asylbewerbern.,0.85
225,225,18_119_2015-09-08,Ein guter Schritt wäre zum Beispiel die Abschaffung des Asylbewerberleistungsgesetzes und die Integration von Flüchtlingen in das soziale Sicherungssystem.,0.85
3170,3170,18_200_2016-11-11,"Wenn sie aber einen Studienplatz bekommen haben, dann erbringen sie genauso gute Leistungen und haben genauso große Chancen, das Studium zu schaffen, wie ihre Kommilitonen ohne Migrationshintergrund.",0.85
2095,2095,18_155_2016-02-18,"In Hessen hat sich die schwarz-grüne Regierung im Rahmen des „Aktionsplans zur Integration von Flüchtlingen und Bewahrung des gesellschaftlichen Zusammenhalts“ verpflichtet, bis 2019 insgesamt 10 000 neue Wohnungen zu fördern.",0.85
3779,3779,18_233_2017-05-17,"Eine erfolgreiche Integrationspolitik erfordert eine soziale Offensive für alle Drucksachen 18/9190, 18/12166 ..",0.85
1655,1655,18_146_2015-12-17,In Zeiten von überschaubaren Zuwandererzahlen wären ein solcher Datenaustausch und vor allem die Einführung eines Ausweises sicher auch richtig gewesen.,0.85
13,13,18_100_2015-04-23,"Uns ist bewusst, dass es nicht reicht, wenn wir uns um eine schnellere Bearbeitung der Asylanträge kümmern und uns sonst damit begnügen, immer wieder einmal Finanzspritzen für die Kommunen zur Verfügung zu stellen.",0.85
2177,2177,18_156_2016-02-19,"Meine sehr verehrten Damen und Herren, wir werden mit diesem Gesetzespaket auch die Abschiebungen erleichtern.",0.85
1574,1574,18_146_2015-12-17,"Es ist allemal klüger, die Hilfsorganisationen und die Entwicklungszusammenarbeit	finanziell	 so	 auszustatten,	dass	die	Menschen in Afghanistan tatsächlich eine Perspektive sehen, als dass sie ihr letztes Hab und Gut den Schleppern und Schleusern anvertrauen und wir steigende Flüchtlingszahlen hier in Europa haben.",0.85
474,474,18_121_2015-09-10,"Der Bund muss die Voraussetzungen bei der Grundsicherung des SGB II, aber auch bei der aktiven Arbeitsmarktpolitik, bei Sprachkursen und bei der Qualifizierung schaffen, um eine größere Zahl von Menschen in den Arbeitsmarkt zu integrieren.",0.85
3507,3507,18_210_2016-12-16,"Das sage ich an alle Abschiebungsfetischisten, die es in unserem Land gibt: Wenn Sie Härte beweisen wollen, dann gehen Sie die Verfahren mit Härte an, und sorgen Sie für Qualität.",0.85
952,952,18_138_2015-11-24,"Wir sind nicht nur dabei, der Einwanderungsströme in irgendeiner Art und Weise, auch mit finanziellen Mitteln, Herr zu werden und eine vernünftige Finanzausstattung zu gewährleisten, sondern wir investieren auch in innere Sicherheit.",0.85
410,410,18_120_2015-09-09,"Ich begrüße daher ausdrücklich die Initiativen aus dem kulturellen Bereich unterschiedlicher Art und Weise wie zum Beispiel die des deutschen Buchhandels zur Unterstützung der kulturellen Angebote insbesondere für Asylsuchende und Flüchtlinge, die unter der Schirmherrschaft von Navid Kermani steht.",0.85
1560,1560,18_145_2015-12-16,"Günter Krings auf die Frage der Abgeordneten Ulla Jelpke (DIE LINKE) (Drucksache 18/6996, Frage 10):  Wie hoch ist die Zahl der im EASY-System registrierten Asylsuchenden im Monat November 2015 (soweit vorliegend, bitte nach den zehn relevantesten Herkunftsländern und, soweit damit nicht erfasst, ergänzend nach den Westbalkanländern Albanien, Bosnien und Herzegowina, Kosovo, Mazedonien, Montenegro und Serbien darstellen), und wie soll die Erwartung der Innenministerkonferenz (Beschluss vom 3.",0.85
956,956,18_138_2015-11-24,"Es ist ebenso richtig und wichtig, dass diese Mittel vollständig bei denen ankommen, für die wir sie aus dem Bundeshaushalt bereitstellen, nämlich bei den Asylbewerberinnen und Asylbewerbern vor Ort.",0.85
1273,1273,18_140_2015-11-26,"Wir haben die Förderung der sogenannten C1-Sprachkurse um weitere 15 Millionen Euro angehoben, um gut ausgebildeten Flüchtlingen schneller den Hochschulzugang zu ermöglichen.",0.85
3490,3490,18_210_2016-12-16,"Wir möchten nicht nur Integrationskurse durch regelmäßige kulturelle Aktivitäten ergänzen, wir wollen auch digitale Teilhabe und Medienbildung für Flüchtlinge fördern.",0.85
3742,3742,18_226_2017-03-24,"Damit Integration wirklich funktioniert, brauchen wir eine bundesweite Bildungsoffensive, die allen Kindern, unabhängig von ihrer kulturellen, aber auch von ihrer sozialen Herkunft, echte Chancen einräumt.",0.85
2581,2581,18_171_2016-05-13,"Das gilt für die Bürgerinnen und Bürger dieses Landes, aber es gilt auch für die Flüchtlinge, die schnell eine klare Aussage über ihr Bleiberecht und ihre Integrationschancen brauchen.",0.85
3079,3079,18_191_2016-09-23,"Ich möchte hier auch betonen, dass in den letzten Jahren gerade auf Druck der CDU/CSU die Ausgaben für Deutsch- und Integrationskurse deutlich erhöht wurden.",0.85
979,979,18_138_2015-11-24,Für die Unterbringung von Asylbewerbern und den sozialen Wohnungsbau hat der Bund die guten Konditionen in diesem Jahr weiter verbessert.,0.85
436,436,18_120_2015-09-09,"Mir ist aber wichtig, dass Sie sich wie auch ich in den letzten Wochen und Monaten informieren über die Art dieser Mission, über die Erkenntnisse, die wir inzwischen gewonnen haben, über die Netze organisierter Kriminalität der Schlepper und Schleuser, die dort ihr Unwesen treiben.",0.85
2250,2250,18_157_2016-02-24,"Wir müssen die Vorkommnisse gemeinsam und mit aller Konsequenz aufarbeiten, und wir müssen die Asylbewerber, die zu uns nach Sachsen kommen und Hilfe brauchen, ordentlich behandeln und auch schützen.",0.85
1522,1522,18_145_2015-12-16,"Ich bin überzeugt, dass gerade Deutschland, das volkswirtschaftlich stärkste Land Europas, in dieser Zeit  eine besondere Verantwortung wahrzunehmen hat und dass es oft ganz besonders auf unser Land ankommt, wenn es darum geht, die Errungenschaften der europäischen Integration zu wahren und zu schützen.",0.85
2174,2174,18_156_2016-02-19,Das Asylpaket II ist ein wichtiger und maßvoller Bestandteil in diesem Maßnahmenkatalog.,0.85
3576,3576,18_211_2017-01-18,"Um die Kommunen bei der Integration von anerkannten Flüchtlingen in den Wohnungsmarkt zu unterstützen, hat das Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR) im Auftrag des Bundesministeriums für Umwelt, Naturschutz, Bau und Reaktorsicherheit (BMUB) eine Studie in Auftrag gegeben.",0.85
897,897,18_135_2015-11-11,"Wir brauchen eine gute Integrationspolitik, eine Politik, die die Flüchtlinge aufnimmt, die für ein gutes Gesundheitswesen und dafür sorgt, dass Kinder in die Schule gehen können, und nicht die ständige Ankündigung und Durchsetzung neuer Repressionen.",0.85
2296,2296,18_160_2016-03-16,"Unser Ziel muss eine europäische Lösung bleiben, die das individuelle Recht auf Asyl bewahrt, Geflüchteten Schutz bietet und in der Tat auch unsere Außengrenzen sichert.",0.85
2535,2535,18_171_2016-05-13,"Das ist ein weiterer wichtiger Schritt, um unser Asylsystem effizienter zu machen.",0.85
2462,2462,18_166_2016-04-27,"Günter Krings auf die Frage der Abgeordneten Beate Walter-Rosenheimer (BÜNDNIS 90/DIE GRÜNEN) (Drucksache 18/8190, Frage 33):  Warum schließt die Ankündigung der Bundesregierung, im Rahmen des geplanten Integrationsgesetzes die „erleichterten Ausbildungsangebote für Menschen mit guter Bleibeperspektive sowie Orientierungskurse bei schlechterer Bleibeperspektive (zu) regeln“ (www.bundesregierung.de/Content/DE/ Artikel/2016/04/2016-04-14-pressekonfernz-merkel.html), nicht auch den erleichterten Zugang zu intensiver Sprachvermittlung und fachlicher Berufsorientierung und -vorbereitung für alle Asylberechtigten und anerkannten jungen Flüchtlinge sowie Asylbewerber oder Geduldeten mit Arbeitsmarktzugang ein, obwohl dies in der Erklärung des Bundesministeriums für  http://www.bundesregierung.de/Content/DE/Artikel/2016/04/2016-04-14-pressekonfernz-merkel.html http://www.bundesregierung.de/Content/DE/Artikel/2016/04/2016-04-14-pressekonfernz-merkel.html Deutscher Bundestag – 18.",0.85
1638,1638,18_146_2015-12-17,Gerade für diese Menschen wäre eine schnelle Integration in den Arbeitsmarkt besonders hilfreich.,0.85
1291,1291,18_140_2015-11-26,"Denn die Überschüsse werden weltweit entsorgt, was regionalen Märkten schadet und Fluchtursachen verschärft.",0.85
916,916,18_135_2015-11-11,"Ich finde, es ist die Aufgabe von uns allen, das endlich zu ändern und dafür zu sorgen, dass Fluchtursachen wirklich bekämpft werden.",0.85
1626,1626,18_146_2015-12-17,"Der Bundesentwicklungsminister hat uns zugesagt, die so wichtigen Sonderinitiativen gegen Fluchtursachen zu verstetigen.",0.85
17,17,18_100_2015-04-23,Die Forderung nach einer „Willkommenskultur“ ist zwar schnell aufgestellt und sicherlich auch gut gemeint.,0.85
3141,3141,18_197_2016-10-21,"Damit die höheren Regelbedarfe im SGB II und im SGB XII sowie die veränderten Bedarfsstufen im Asylbewerberleistungsgesetz zum 1. Januar 2017 in Kraft treten können, hoffen wir auf eine gute und zügige Beratung.",0.85
2804,2804,18_176_2016-06-09,"Für uns wäre das kommunale Wahlrecht ein Angebot zur Integration, ein Baustein einer Willkommenskultur und ein deutliches Signal, dass alle, die hier leben, auch Verantwortung für eine demokratische Entwicklung und ein friedliches Zusammenleben tragen.",0.85
922,922,18_135_2015-11-11,"Wir wollen den Menschen helfen, die wirklich in Not sind, die einen Asylgrund haben oder die Flüchtlinge nach der Genfer Flüchtlingskonvention sind und unsere Hilfe benötigen.",0.85
3447,3447,18_210_2016-12-16,"Liebe Frau Kollegin Beck, ich freue mich, dass Sie  bestätigen, dass auch Sie zwischen Asyl aus den im Gesetz genannten Gründen und Migration aus Gründen, die keine Asylgründe sind, differenzieren.",0.85
2164,2164,18_156_2016-02-19,"Es wurde von uns getan, weil ich es für richtig halte, dass ein großes Ausweisungsinteresse schon vorliegen kann, wenn in Deutschland jemand zu einer Freiheitsstrafe verurteilt wird.",0.85
3574,3574,18_211_2017-01-18,"Er hat getäuscht, er war kriminell, er hat sich der Abschiebung entzogen, er ist untergetaucht.",0.85
2545,2545,18_171_2016-05-13,"Dieses Recht auf ein faires Asylverfahren, der Anspruch auf eine individuelle Beurteilung muss weiterhin voll anerkannt werden.",0.85
3461,3461,18_210_2016-12-16,Gerade das ehrenamtliche Engagement im kulturellen Sektor leistete in der Vergangenheit und leistet auch heute einen wichtigen Beitrag zur Etablierung einer „Willkommenskultur“ in unserem Land.,0.85
1595,1595,18_146_2015-12-17,"Ich möchte vor diesem Hintergrund gerne vier Bereiche der Fluchtursachenbekämpfung aufzeigen, um die wir uns intensiver kümmern müssen.",0.85
1594,1594,18_146_2015-12-17,"Neben der Beantwortung der humanitären Fragen und neben der Schaffung sicherer Fluchtwege über humanitäre Visa und großzügigere Resettlement-Kontingente ist schließlich auch längst überfällig, legale Migration über ein Einwanderungsgesetz zu ermöglichen.",0.85
3225,3225,18_201_2016-11-22,"Der Vorschlag unseres Innenministers, Asylanträge direkt vor Ort in Nordafrika zu prüfen, ist sinnvoll und auch unter humanitären Gesichtspunkten dringend geboten.",0.85
3589,3589,18_214_2017-01-25,"Erfasst  sind von Nummer 1 Asylbewerber, die aus einem Land mit einer hohen Anerkennungsquote kommen oder bei denen eine belastbare Prognose für einen erfolgreichen Asylantrag besteht.",0.85
708,708,18_127_2015-10-01,"Wir sorgen jetzt dafür, dass die Integra­ tionskurse auch für Menschen, die sich im Asylverfahren befinden und eine gute Bleibeperspektive haben, sowie für Geduldete geöffnet werden.",0.85
3921,3921,18_79_2015-01-15,"Berlin, Donnerstag, den 15. Januar 2015 7517  Swen Schulz (Spandau)  (A) (C)  (D)(B) der die Hilfe für Flüchtlinge und Asylbewerber in Konflikt gerät mit der Daseinsvorsorge, mit wichtigen Leistungen für die Bürgerinnen und Bürger.",0.85
51,51,18_100_2015-04-23,"Meine lieben Kolleginnen und Kollegen, das heute zu beschließende Gesetz ist ein wichtiger Baustein bei der Bekämpfung des Terrorismus mit dem Mittel des Strafrechts.",0.85
1829,1829,18_149_2016-01-14,"In diesem Zusammenhang muss man wirklich kritisieren, dass die Unionsfraktion – auch Sie haben das eben wieder gemacht – hier von vornherein über Asylmissbrauch und über sogenannte terroristische Gefährder spricht, also im Grunde genommen die Debatte über dieses Gesetz mit Parolen vergiftet.",0.85
1877,1877,18_149_2016-01-14,"Ich ver stehe Ihre Frage, liebe Frau Scho-Antwerpes, dahin gehend, dass wir noch einmal überlegen müssen: Was heißt denn Integrationspolitik vor dem Hintergrund der Schulpolitik?",0.85
314,314,18_119_2015-09-08,"Das bedeutet zum Beispiel, von Anfang an bundesweit die Kosten für die Flüchtlingsaufnahme zu übernehmen und den Kommunen das zu überlassen, was wichtig ist, nämlich die Integration von Anfang an, also Sprachunterricht, Eingliederung in den Arbeitsmarkt und die Dinge, die nötig sind, damit die Menschen hier schnell wirklich ankommen.",0.85
2710,2710,18_174_2016-06-03,"Der Sachverständigenrat deutscher Stiftungen für Integration und Migration hat ganz klar gesagt, das Gesetz sei – ich zitiere – „ein wichtiger Schritt hin zu Gleichbehandlung und früher Integration.",0.85
3254,3254,18_201_2016-11-22,"Dadurch wird deutlich, wo die Große Koalition ihre politischen Schwerpunkte setzt: Repression und Überwachung im Innern, immer neue und sinnlosere Kriegsbeteiligungen im Ausland  (Sebastian Hartmann [SPD]: Integration!)  statt Deeskalation und Unterstützung friedlicher Konfliktlösungen.",0.85
3900,3900,18_79_2015-01-15,"Deshalb war und ist es richtig, dass wir die Kurden in ihrem Kampf gegen die Barbarei der Dschihadisten unterstützen, mit humanitärer Hilfe, mit Ausrüstung und auch mit Waffen.",0.85
1840,1840,18_149_2016-01-14,"Damit meine ich neben den zahlreichen unterschiedlichen Behörden auch die Asylsuchenden selbst, für die die Situation derzeit wirklich eine Belastung ist.",0.85
2990,2990,18_186_2016-09-07,"Meine sehr verehrten Damen und Herren, wenn es uns nicht gelingt, jetzt mit grundlegenden Reformen die Webfehler der europäischen Integration der letzten Jahrzehnte zu korrigieren, werden wir dieses europäische Projekt strangulieren.",0.85
655,655,18_127_2015-10-01,"Wem in unserem Land ein Asylantrag abgelehnt worden ist, der muss, wenn es sonst keinen Grund für Duldung gibt, unser Land verlassen.",0.85
1111,1111,18_139_2015-11-25,"Ich finde, wir brauchen auch in der Integrationspolitik klare Maximen: fördern und fordern.",0.85
2682,2682,18_174_2016-06-03,"Aber wenn das gelingen soll, dann müssen wir wirklich konsequent auf Integration setzen,  (Beifall beim BÜNDNIS 90/DIE GRÜNEN)  und genau das tut dieses Gesetz nicht.",0.85
1084,1084,18_139_2015-11-25,"Helfer kümmern sich um die Flüchtlinge, leben eine überzeugende Willkommenskultur.",0.85
1833,1833,18_149_2016-01-14,Die Beschleunigung der Asylverfahren ist aus vielerlei Gründen wichtig und sinnvoll.,0.85
1976,1976,18_153_2016-01-29,"Wir sind schon lange ein Einwanderungsland, ein Land kultureller Vielfalt, und das ist gut so –  (Beifall bei der SPD sowie bei Abgeordneten des BÜNDNISSES 90/DIE GRÜNEN)  nicht erst seit dem großen Zustrom von Flüchtlingen in den letzten Monaten.",0.85
674,674,18_127_2015-10-01,"Für die Perspektive eines selbstbestimmten Lebens ist es wichtig, dass ein schnellerer Zugang zu Sprach­ und Integrationskursen für Menschen mit einer guten Blei­ beperspektive beschlossen wird.",0.85
3314,3314,18_202_2016-11-23,"Es ist völlig richtig, dass dieser Haushalt einen großen Schwerpunkt auf die Bekämpfung der Fluchtursachen legt, mit einer deutlichen Steigerung der Mittel beim Auswärtigen Amt und beim Bundesministerium für wirtschaftliche Zusammenarbeit.",0.85
3641,3641,18_218_2017-02-16,"Integration ist also nur dann einfach, wenn es der Aufnahmegesellschaft gut geht.",0.85
3897,3897,18_79_2015-01-15,"Wir werden die Freiheit nur dann verteidigen können, wenn wir eine offene und freie Gesellschaft erhalten, in der Presse- und Meinungsfreiheit sowie Religionsfreiheit, Einwanderung und Vielfalt selbstverständlich sind.",0.85
3321,3321,18_202_2016-11-23,"Die Integrationskurse helfen aber nur den Menschen, die eine gute Bleibeperspektive in unserem Land haben.",0.85
659,659,18_127_2015-10-01,"Mit dem Gesetzespaket bekennen wir uns genauso klar und deutlich zur Aufnahme und Integration derje­ nigen, die schutzwürdig sind und dauerhaft hier bleiben werden.",0.85
2418,2418,18_164_2016-04-14,"Berlin, Donnerstag, den 14. April 2016 16137  (A) (C)  (B) (D)  ein Verfahren, das eben nicht auf dem Asylrecht basiert, und er muss damit leben, dass er nach diesem Verfahren, wenn er nicht aus humanitären Gründen verfolgt ist, das Land wieder verlassen muss.",0.85
666,666,18_127_2015-10-01,"Wir werden keines der Probleme auf der Welt lösen können, indem wir unbegrenzten Zuzug nach Europa erlauben und diesen einfach nur besser organi­ sieren.",0.85
3877,3877,18_79_2015-01-15,"Dazu brauchen wir qualifizierte Einwanderer in großer Zahl, und darauf müssen wir alle vorbereiten.",0.85
3274,3274,18_201_2016-11-22,"Die Festnahme der Terrorverdächtigen in Leipzig und in Berlin-Schöneberg oder jüngst die bundesweite Razzia gegen das Dschihadistennetzwerk „Die wahre Religion“ zeigen: Deutschland war vielleicht noch niemals zuvor so sehr bedroht, aber gleichzeitig auch so sicher wie heute.",0.85
310,310,18_119_2015-09-08,"Da wird im Grunde genommen pauschal einer ganzen Flüchtlingsgruppe das Recht abgesprochen, dass deren Asylanträge unvoreingenommen geprüft werden.",0.85
